Project,ORR,Org_Location,Organization_Name,State,County,Type,Category,Description,FY,Municipality,Sponsor,"6. Which part of LWCF's mission does the project relate to? 
Select all that apply. - Other (please describe): - Text",Program?," Category (if ""other)",Cost_Range,Estimate_Cost,type_rec,"What other types of recreation would the project support, if ""other""",demographics,app_submitted,shovel-ready,"If project is not shovel ready, what is the projected timeline to get it off the ground?",private_match,"If yes, please describe confirmed funders and level of commitment.","Based on the total cost of the project and the private match secured to date, how much LWCF funding will be required to complete the project?",Please comment on the project’s fit with existing state Statewide Comprehensive Outdoor Recreation Plan (SCORP) or local recreation plans.,Please comment on the project’s current buy-in from state and/or local public agencies committed to its future management.,"Please comment on the project’s current support from local, regional or statewide community and/or elected officials (i.e. NGOs and politicians).","Is the project solving for a broader outdoor recreation need (e.g. improved access for park-poor communities, rural development)? Please explain."
Gig Harbor--Developing the Pickle Bo Spot in the Gig Harbor Sport Complex,,Washington,RCO,Washington,Pierce County,Development,"Ballfields/Ball Sports (surface upgrades and rehabilitation, lighting, running tracks)","The City of Gig Harbor will use this grant to continue development of its Pickle Bo Spot in the Gig Harbor Sports Complex, north of the YMCA parking lot. The City will build pickleball courts, bocce ball courts, a playground area, an event lawn, a sheltered performance stage, two covered picnic areas, and parking. Gig Harbor has experienced unprecedented growth in the past 10 years and is the third fastest growing city in Pierce County. The Gig Harbor Sports Complex will serve nearly 50,000 in the surrounding
5 miles. Gig Harbor will contribute more than $2.6 million in cash, a grant from the state Washington Wildlife and Recreation Program, and donations of cash and labor.",FY22,Gig Harbor,City of Gig Harbor,,State and Local Assistance Program,,"$1,750,000+",3164100,"Ball Sports,Playground,Other (please describe):",Events,"Urban,Low-income,Black Americans,Communities of color,LGBTQ,Youth,Adults,Senior,Disabled",Application Submitted,Yes,,Yes,"City of Gig Harbor--$2.6 M in cash + grant from State of Washington's Wildlife and Recreation Program, + Donations of cash and labor","$250,001 - $500,000",,,,
King County--Developing an Entry to Little Lake Forest Park,,Washington,RCO,Washington,King County,Combination (Acquisition and Development),Acquisition,"The King County Parks and Recreation Division will use this grant to buy and develop
5.11 acres in unincorporated King County near Enumclaw as an entry to Little Lake
Forest Park. The County bought the 155-acre forest in 2018 to increase public access to
nature in south King County and to conserve this ecologically rich landscape. The
County will install a play area, picnic shelter, seating areas, a restroom, native plants, and
interpretive signs. King County will contribute $826,065 in cash, Conservation Futures,
and donated labor.",FY22,,King County Parks and Recreation Division,,State and Local Assistance Program,,"$1,250,001 - $1,500,000",1326065,"Backpacking/Hiking,Playground",,"Low-income,Black Americans,Communities of color,LGBTQ,Youth,Adults,Senior",Application Submitted,Yes,,Yes,"King County - $826,065 in cash, Conservation Futures, and donated labor","$250,001 - $500,000",,,,
Lake Stevens--Finishing Eagle Ridge Park,,Washington,RCO,Washington,Snohomish County,Development,"Infrastructure (parking areas, electrical, roads, ADA accessibility, shelters, water treatment, waste management)","The City of Lake Stevens will use this grant to finish development of Eagle Ridge Park.
The City will build an amphitheater, an outdoor classroom, a nature-themed playground,
and restrooms. In addition, the City will install lights, build pedestrian pathways and
parking, and landscape the park. Finally, the City will preserve and protect the park’s
wetland habitat that supports breeding nests for eagles. The park is used mostly for
outdoor education, hiking, and playground use. Lake Stevens will contribute $566,990 in
cash and a grant from the Washington Wildlife and Recreation Program.",FY22,Lake Stevens,City of Lake Stevens,,State and Local Assistance Program,,"$750,0001 - $1,000,000",995200,"Backpacking/Hiking,Wildlife Watching,Playground",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Youth,Adults,Senior,Disabled",Application Submitted,Yes,,Yes,"City of Lake Stevens--$566,990 in cash and a grant from the Washington Wildlife and Recreation Program","$250,001 - $500,000",,,,
Lakewood-Developing Wards St. Park,,Washington,RCO,Washington,Pierce County,Development,Hiking area,"The City of Lakewood will use this grant to improve the 27-acre Wards Lake Park.
Located in the northeast part of the city and next to Interstate 5, the park has expansive
growth of invasive plants and sediment from incoming stormwater. It also has wetlands,
oak prairie, and forest, along with trails and lawn areas. The city will build a paved,
pump-track, a fenced 3-acre dog park, and 1 mile of loop trail, accessible to people with
disabilities. In addition, the City will enhance the forest and native oak-prairie habitat
areas and improve the critical wetlands. Finally, the City will improve pedestrian safety
and add public art at the main entrance. Lakewood will contribute more than
$1.4 million in cash and state grants from the Washington Wildlife and Recreation
Program and the Youth Athletic Facilities program.",FY22,Lakewood,City of Lakewood,,State and Local Assistance Program,,"$1,750,000+",1960430,"Backpacking/Hiking,Biking,Wildlife Watching",,"Rural,Urban,Youth,Adults,Senior,Disabled",Application Submitted,Yes,,Yes,"City of Lakewood, $1,400,000 in cash and state grants from Washington Wildlife and Recreation program and Youth Athletic Facilities Program",,,,,
Monroe-Conserving an East Monroe Natural Area,,Washington,RCO,Washington,Snohomish County,Acquisition,Acquisition,"The City of Monroe will use this grant to buy 43 acres of natural open space along the
Skykomish River in Snohomish County. Located off U.S. Route 2, between Woods Creek
Road and Calhoun Road, the land is a diverse compilation of bluffs, salmon-bearing
oxbow channel, and wetlands, which provide critical places for fish to rest during high
water flows. There is a natural connection to the Skykomish River and the 90-acre Al
Borlin Park to the southwest. The landowner has requested to rezone the land to allow
commercial and multiuse activities and previously had requested to clear the land and
add 60,000 cubic yards of fill (about 6,000 truckloads of material). Monroe will
contribute more than $2.3 million in cash, Conservation Futures, and a state grant.",FY22,Monroe,City of Monroe,,State and Local Assistance Program,,"$1,750,000+",2817500,,,,Application Submitted,Yes,,Yes,"City of Monroe--$2.3 million in cash, Conservation Futures, and a state grant.","$250,001 - $500,000",,,,
Mountlake Terrace--Improving the Evergreen Playfield,,Washington,RCO,Washington,Snohomish County,Development,"Ballfields/Ball Sports (surface upgrades and rehabilitation, lighting, running tracks)","The City of Mountlake Terrace will use this grant to redevelop Evergreen Playfield
Number 3, in central Mountlake Terrace. The City will convert the dirt infield to synthetic
turf with a grass outfield that will support baseball and softball. In addition, the City will
add new field lights, fencing, backstop, dugouts, and other field amenities. The City will
grade the area surrounding the field for new seating areas, parking, and landscaping.
Mountlake Terrace will contribute $979,000 in cash and a state Youth Athletic Facilities
grant.",FY22,Mountlake Terrace,City of Mountlake Terrace,,State and Local Assistance Program,,"$1,250,001 - $1,500,000",1479000,Ball Sports,,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Youth,Adults,Senior",Application Submitted,Yes,,Yes,"City of Mountlake Terrace--$979,000 in cash and a state Youth Athletic Facilities Grant","$250,001 - $500,000",,,,
Othello--Developing Lions Park Pride Rock Playground,,Washington,RCO,Washington,Adams County,Development,Playgrounds (including ADA accessibility),"The new playground will replace unsafe 1950s equipment and grounds with safe play equipment and surfacing that are accessible to people with disabilities. The current play area will be redesigned for inclusion and efficiency, with landscaping and furnishings that offer shade and comfort during the hot Othello summers. The playground is geared towards children up to 12 years old. The project will directly benefit Othello's large youth population, 35 percent of whom live in poverty. Othello will contribute $509,000 in cash, a grant from the state Washington Wildlife and Recreation Program, and donated cash.",FY22,Othello,City of Othello,,State and Local Assistance Program,,"$1,000,001 - $1,250,000",1009000,"Backpacking/Hiking,Archery",,"Low-income,Youth,Disabled",Application Submitted,Yes,,Yes,"Othello- $509,000 in cash, a grant from the state of Washington's Wildlife and Recreation Program, and donated cash",,,"Othello is bought in, grant from state wildlife and recreation program",,
Peninsula Metropolitan Park District Grant-Expanding Narrows Park,,Washington,RCO,Washington,Pierce County,Acquisition,Acquisition,"The Peninsula Metropolitan Park District will use this grant to buy 116 acres of forested
land, next to Narrows Park. The land includes 350 feet of shoreline on the Tacoma
narrows, extending Narrows Park shoreline to more than a quarter mile. The land
includes a seasonal stream, rolling uplands, steep banks to the water, and flatter upland
areas for recreation. The Peninsula Metropolitan Park District will contribute $2.6 million
in Conservation Futures and a grant from the Washington Wildlife and Recreation
Program.",FY22,Gig Harbor,Peninsula Metropolitan Park District,,State and Local Assistance Program,,"$1,750,000+",3100000,"Backpacking/Hiking,Biking",,"Low-income,Black Americans,Communities of color,LGBTQ,Youth,Adults,Senior",Application Submitted,Yes,,Yes,"Peninsula Metropolitan Park District--$2,600,000","$250,001 - $500,000",,,,
Pierce County-Expanding Opportunities at the Sprinkler Recreation Center,,Washington,RCO,Washington,Pierce County,Development,"Ballfields/Ball Sports (surface upgrades and rehabilitation, lighting, running tracks)","Pierce County Parks and Recreation Services will use this grant to develop and renovate about 20 acres of the 44-acre Sprinker Recreation Center’s outside area. The county will add synthetic turf ball fields, an entry plaza, a community event lawn, a playground, a spray park, sport courts, picnic shelters, and a trail connection to the Parkland Community Trail. In addition, the area will get new furnishings and restrooms will be renovated. This project will expand recreation opportunities and address the needs of a growing and diverse community. Dedicated in 1976, the center is in the Parkland and Spanaway communities and serves more than 167,000 people within 5 miles. Pierce County will contribute more than $13.6 million in cash, state grants from the Washington Wildlife and Recreation Program and the Youth Athletic Facilities program,and donated cash.",FY22,Parkland,Pierce County Parks and Recreation Services,,State and Local Assistance Program,,"$1,750,000+",14109000,,,"Rural,Urban,Youth",Application Submitted,Yes,,Yes,"$13,600,00 from Pierce County, State grants from Washington Wildlife and Recreation Program and Youth Athletic Facilities Program",,,,,
"Playground Renovation, Hartman Sports Park",,,City of Aztec,New Mexico,San Juan County,Development,Playgrounds (including ADA accessibility),"The project would upgrade the existing playground to current CPSI safety standards & ADA standards; replace an outdated concession stand/restroom that service 7 baseball fields, to provide a more sanitary food production area and larger restroom facilities for large crowd use during baseball season.",FY23 and Beyond,Aztec,ICIP,,State and Local Assistance Program,,"$500,001 - $750,000",59564000,"Ball Sports,Playground",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth",Application Submitted,Unknown,,No,,"$500,001 - $750,000",,,,
Port of Anacortes--Developing the Cap Sante Marina RV Park,,Washington,RCO,Washington,Skagit County,Development,"Infrastructure (parking areas, electrical, roads, ADA accessibility, shelters, water treatment, waste management)","The Port of Anacortes will use this grant to develop a recreational vehicle (RV) park in the Cap Sante Marina. The current RV park is a gravel lot with 22 spaces and no utility
hook-ups, forcing drivers to run their motors for electrical power. The Port will create
25 spaces with hedges for privacy, add a garbage and recycling area, and install utility
hook-ups for sewer, water, cable, and power. The hook-ups will eliminate the reliance on
generators and reduce noise and air pollution. The Port also will collect and treat
stormwater and pave roads and pathways. The new RV park will connect visitors to the
marina restroom and laundry services and to waterfront parks and regional trails. The
Port of Anacortes will contribute more than $1.8 million in cash and a grant from the
state Aquatic Lands Enhancement Account.",FY22,Anacortes,Port of Anacortes,,State and Local Assistance Program,,"$1,750,000+",2311971,"Campground + Hospitality,Motorized Use",,"Rural,Urban,Low-income,Black Americans,Communities of color,Youth,Adults,Senior",Application Submitted,Yes,,Yes,Port of Anacortes--$1.8 million in cash and a grant from the state Aquatic Lands Enhancement Account,"$250,001 - $500,000",,,,
Poulsbo--Building an Inclusive Playground in Raab Park,,Washington,RCO,Washington,Kitsap County,Development,Playgrounds (including ADA accessibility),"The City of Poulsbo will use this grant to develop an inclusive playground in the 21-acre Raab Park. The playground will include seven pieces of equipment and numerous sensory stations, all designed to accommodate people with physical disabilities and provide a sensory-rich experience. The equipment will include pieces such as a wheelchair friendly merry-go-round, inclusive teetertotter, extra wide slides, and swing seats. The equipment will be located next to the park's small playground, which is accessible to people with disabilities, but not fully inclusive. No play equipment will be removed. The 9,000-square-foot playground will feature a soft, padded synthetic surface and wheelchair accessible ramps. The inclusive playground is a community effort. The Poulsbo North Kitsap Rotary Club formed a partnership with the City and is co-leading this community project alongside the Kitsap Community Foundation, special interest groups, and citizens. Raab Park is a well-used, community park and hosts a variety of activities, including the community gardens, a dog park, a walking trail, sport courts, and a skate park. Poulsbo will contribute $379,824 in cash, staff labor, private and state
grants, and donated labor.",FY22,Poulsbo,City of Poulsbo,,State and Local Assistance Program,,"$500,001 - $750,000",749824,,,"Youth,Disabled",Application Submitted,Yes,,Yes,"City of Poulsbo, $379,824 in cash, staff labor, private and state grants, and donated labor",,,,"North Kitsap Rotary Club, Kitsap Community Foundation",
Rebuild ATV/Snowmobile Trail from Dollar Bay to Lake Linden,,Michigan,,Michigan,Houghton County,Development,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)","After damage done by the 2018 Father's Day Flood, there is an opportunity to rebuild the ATV and snowmobile trail that runs from Dollar Bay to Lake Linden.",FY23 and Beyond,Dollar Bay,,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Safeguarding rivers, watershed, water supplies, and clean water,Preserving natural areas and wildlife habitat,Supporting local economies and jobs through increased outdoor recreation",State and Local Assistance,,,2541640,"Motorized Use, Snowmobile",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",Application Submitted,,,,,"$1,500,000",,,,
Renton--Replacing the Trestle Bridge in Gene Coulon Memorial Beach Park,,Washington,RCO,Washington,King County,Development,"Infrastructure (parking areas, electrical, roads, ADA accessibility, shelters, water treatment, waste management)","The City of Renton will use this grant to replace the trestle bridge in Gene Coulon
Memorial Beach Park on the south shore of Lake Washington. The park is Renton's most popular park, drawing more than 15,000 people for events and in a recent 6-hour count, more than 800 people were counted crossing the bridge. The bridge is a critical part of the park's pedestrian trail and a possible future connection to the regional Eastrail. The new bridge will provide a new viewpoint along the pedestrian trail and will include interpretive signs. The City will remove all 58 piles and the new bridge deck will allow light through, which is better for fish. Renton will contribute $999,572 in council bonds.",FY22,Renton,City of Renton,,State and Local Assistance Program,,"$1,250,001 - $1,500,000",1499572,Other (please describe):,Walking,"Urban,Low-income,Black Americans,Communities of color,LGBTQ,Youth,Adults,Senior,Disabled",Application Submitted,Yes,,Yes,"City of Renton: $999,572 in council bonds","$250,001 - $500,000",,,,
Seattle--Renovating Maple Wood Playfield,,Washington,RCO,Washington,King County,Development,"Ballfields/Ball Sports (surface upgrades and rehabilitation, lighting, running tracks)","The Seattle Parks and Recreation Department will use this grant to renovate the 9.4-acre Maple Wood Playfield in the Beacon Hill neighborhood of southeast Seattle. The City will add new drainage and irrigation, regrade the fields, and add a new grass playing surface, backstops, dugouts, and bleachers. The City will make improvements elsewhere too by installing play equipment and reconfiguring the play area to optimize accessibility, safety, and parental supervision. Finally, the City will make changes to parking and pathways to accommodate people with disabilities. Maple Wood Playfield is widely used by multiple groups, schools, and leagues for baseball, softball, soccer, and
football. Seattle will contribute more than $2.8 million in cash and state grants from the
Washington Wildlife and Recreation Program and the Youth Athletic Facilities program.",FY22,Seattle,Seattle Parks and Recreation District,,State and Local Assistance Program,,"$1,750,000+",3301615,Ball Sports,,"Urban,Low-income,Black Americans,Communities of color,Youth,Adults,Senior,Disabled",Application Submitted,Yes,,Yes,City of Seattle--$2.8M in cash and state grants from Washington Wildlife and Recreation Program,"$250,001 - $500,000",,,,
Seattle-Developing North Rainier Land Banked Park,,Washington,RCO,Washington,King County,Development,State/Local park creation,"The Seattle Parks and Recreation Department will use this grant to create a 1-acre park in the Rainier Valley neighborhood of southeast Seattle, one of the most
demographically diverse regions in the nation. The project will enhance this dense,
urban, under-represented, residential, and commercial neighborhood by creating a community recreation and gathering space. The park design includes a fitness zone, barbecue and picnic amenities, plantings and trees, and pathways for strolling, jogging, or skating. Seattle will contribute more than $2.6 million in cash, council bonds, a private grant, and a grant from the Washington Wildlife and Recreation Program",FY22,Seattle,Seattle Parks and Recreation Department,,State and Local Assistance Program,,"$1,750,000+",3118428,,,"Urban,Low-income,Black Americans,Communities of color,Youth,Adults,Senior",Application Submitted,Yes,,Yes,"Seattle-$2,600,000 in cash, council bonds, private grant and a grant from the Washington Wildlife and Recreation Program",,,,,
Sedro-Woolley--Developing Olmsted Park,,Washington,RCO,Washington,Skagit County,Development,"Infrastructure (parking areas, electrical, roads, ADA accessibility, shelters, water treatment, waste management)","The City of Sedro Woolley will use this grant to develop 14.81 acres, which were part of the Northern State Hospital Campus, into Olmsted Park. Park elements will include parking, restrooms, pathways, picnic tables, benches, and a fishing pond. Named in honor of the Olmsted brothers who were the designers of the original hospital campus, this park will be the city’s second destination park. Sedro Woolley will contribute $807,000 in cash and a grant from the state Washington Wildlife and Recreation
Program.",FY22,Sedro Woolley,City of Sedro Woolley,,State and Local Assistance Program,,"$1,250,001 - $1,500,000",1307000,"Backpacking/Hiking,Wildlife Watching,Other (please describe):",Leisure,"Rural,Low-income,Youth,Adults,Senior",Application Submitted,Yes,,Yes,"City of Sedro Woolley--$807,000 in cash and a grant from State of Washington Wildlife and Recreation Program","$250,001 - $500,000",,,,
Spokane County-- Make Beacon Hill Public,,Washington,RCO,Washington,Spokane County,Acquisition,Acquisition,"The Spokane County Parks, Recreation and Golf Department and the City of Spokane Parks and Recreation Department will use this grant to buy 231 acres on Beacon Hill, connecting existing parks to create a contiguous 566-acre urban regional park. Located in the heart of Spokane County and the city of Spokane, Beacon Hill has been at the epicenter of mountain biking in the region for decades as well as a popular neighborhood area for hiking, dog walking, trail running, and more. This project not only will preserve miles of trail but also an urban space that serves one of Spokane's most distressed and disadvantaged neighborhoods. Spokane County will contribute more than $2.7 million in Conservation Futures,3 a private grant, a grant from the state Washington Wildlife and Recreation Program, and donations of labor and land or property interest.",FY22,Beacon Hill,"Spokane County Parks, Recreation and Golf Department",,State and Local Assistance Program,,"$1,750,000+",3211500,"Backpacking/Hiking,Biking",,"Urban,Low-income,Black Americans,Communities of color",Application Submitted,Yes,,Yes,"Spokane County--$2,700,000 in Conservation Futures, private grant, grant from State Wildlife and Recreation Program, donations of labor and land",,,"Buy-in from Spokane County Parks, Rec and Golf Department, City of Spokane Parks and Rec Department, Washington DNR all bought in.",,
