LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_2_TEXT,Q2,Q4,Q5_1,Q5_2,State,County,Q29,Q7,Q8,Q8_10_TEXT,Q9,Q9_9_TEXT,Q31,Q10,Q28,Q13,Q14_1,Q15,Q15_14_TEXT,Q20,Q20_11_TEXT,Q22,Q27,Q30,Q21,Q26,Q16,Q17,Q18,Q19
35.13690186,-106.5198975,anonymous,EN,,New Mexico,Santa Fe Professional Tour Guides,,,Santa Criuz Lake Recreation Area,"Thirty miles north of Santa Fe, NM , the snow-fed waters of the Rio del Medio and the Rio Frijoles begin a 2,000-mile journey and a 7,000-foot descent to the Gulf of Mexico. For a time they gather at Santa Cruz Lake at the base of the Sangre de Cristo Mountains near Chimayo, behind the 125-foot Santa Cruz Dam.

Built in 1929 by the Santa Cruz Irrigation District, the dam is 535 feet across and 90 feet deep at the overflowing spillway. The lake covers 121 surface acres with water in the foothills of the Sangre de Cristo Mountains, providing recreational opportunities for anglers, picnickers, campers, and boat lovers alike. The scenic lake at base of Sangre de Cristo mountains offers boating, fishing, hiking and camping.",New Mexico,Santa Fe County,Cundiyo,BLM,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Safeguarding rivers, watershed, water supplies, and clean water,Preserving natural areas and wildlife habitat,Creating and improving state and local parks,Supporting local economies and jobs through increased outdoor recreation",,"Bureau of Land Management,State and Local Assistance Program",,Planning,Trails Development/Renovation ,,"$1,000,001 - $1,250,000",,"Backpacking/Hiking,Boating,Campground + Hospitality,Fishing,Canoeing, Kayaking and Rafting",,"Rural,Low-income,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",,Unknown,Yes,,Unknown,,"Santa Cruz Lake is a complex site with important cultural and recreational opportunities.  I am not certain where it fits within the SCORP, but it the area has long been challenged with having the resources to adapt to the growing interest in outdoor recreation.  ",BLM and Santa Fe County are primary partners.,Unknown ,"Yes, the lake is located in an isolated, rural, poor area of northern Santa Fe County that serves primarily Native and  Hispanic residents.  The park has long suffered from a lack of infrastructure development, but is ideal for enhanced outdoor recreation opportunities. "
33.16059875,-107.2668991,anonymous,EN,,New Mexico,Elephant Butte Chamber of Commerce,,,Rio Grande Trail connection and outdoor park,We would like to develop the east side of the Rio grand river in T. or C. New Mexico for walking and biking with foot bridges. (existing study underway) as well as a mountain bike park on attached BLM land as well as revamping the fish Hatchery south of the damn to be more accessible connecting all of these entities to the Rio Grande trail project spanning many states and countries.,New Mexico,Sierra County,"Truth or Consequences, Williamsberg, and Elephant Butte",Chambers of Commerce and Sierra County Trails,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Preserving historic battlefields and cultural sites,Safeguarding rivers, watershed, water supplies, and clean water,Creating and improving state and local parks,Supporting local economies and jobs through increased outdoor recreation",,"Bureau of Land Management,National Park Service",,Combination (Acquisition and Development),Infrastructure,,"$1,750,000+",,"Backpacking/Hiking,Biking,Campground + Hospitality,Motorized Use,Canoeing, Kayaking and Rafting,Other (please describe):",temporary damn construction,"Urban,Low-income,Communities of color,LGBTQ,Immigrants,Youth,Adults,Senior,Disabled",,Application has been submitted,No,I am trying to combine multi organization efforts and projects into one unified vision. Planning funds have been acquired for the riverside trail. ,No,,"I am trying to combine the existing plans in the community, for a more cohesive long term vision.","We have a planning committee identifying these entities, has been slow due to Coronavirus.",Majorly supported from all aspects. These are all existing projects struggling.,"This is design Improve access where there is none or little, developing new sources of event revenue with a mountain bike park and venue, and would also improve access for the elderly and poor for exercise and recreation. Existing amphitheater
 location can cost effectively be developed to put heads in beds for the tourism trade in the area. "
33.38040161,-112.0245972,anonymous,EN,,New Mexico,City of Deming,,,Tree's Lake Reuse storgae Facility ,"Approximtley 5 acre body of wayer (Tree's lake). Currently filled with fresh water. Currently working on dis-charge permits, uprgrading and installing scada upgrades. Once all approved by the EPA, fresh water will be replaced with Type 1A effluent. The water is recirculated 24 hrs a day with using commerical pumps. Water is pumped from the operations facilty to two water outlets that start the flow of two streams. For a year now our citizens have had fisjhing just minutes (rather than hiours) from their homes. Aqusition of adjacent property and improvements/landscaping  iwill be phase II.  ",New Mexico,Luna County,City of Deming ,N.M. Econimic Development /Outdoor Recreation Division ,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Safeguarding rivers, watershed, water supplies, and clean water,Creating and improving state and local parks,Supporting local economies and jobs through increased outdoor recreation,Increasing park access in urban settings,Other (please describe):",Outdoor activites education for the yoiuth ,Unknown,,Combination (Acquisition and Development),Other,"Tree's Lake currently offers fishing (Bass, Catfish, Bluegill and Perch). The NMGF stock the lake with native trout starting in November,with the last load being in March. Their is approximatley 2.0 miles of walking trails, an oputdoor ampitheatre and pavilion. Construction of an All-Inclusive Park will begin on 11/2/20. ","$750,0001 - $1,000,000",850000,"Biking,Campground + Hospitality,Fishing,Canoeing, Kayaking and Rafting,Wildlife Watching,Rock Climbing",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",,New concept,Yes,,Yes,"City of Deming General Fund- %15 percent $127,500.00",,,"Awarded $500,000 from a capitol appropriation for landscaping FY19/20. STate of New Mexico DFA/Senator John Arthur Smith and Representitive Candie Sweetser. ","Yes. Once constrution of the lake and recirculating system was completed and the lake was stocked with fish, Tree's Lake became (continues to be) the most popular spot in our community, with hundreds of citizens stating ' this is the best thing ever built in Deming"". With that being said, it is to small ! The purchase of property south and west of the lake and improving those properties is needed for expanding the lake, which will allow 50 percent more capacity. "
35.17590332,-106.6015015,anonymous,EN,RV Industry Association,New Mexico,Canon de Carnue Land Grant,,,Carnue Creek Restoration,Reclamation of Sand and Gravel Pit in a Riparian Zone. In addition removal of Invasive Species along Riparian Zone.,New Mexico,Bernalillo County,Canon de Carnue Land Grant,Carnue Land Grant,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Preserving historic battlefields and cultural sites,Safeguarding rivers, watershed, water supplies, and clean water,Preserving natural areas and wildlife habitat,Supporting local economies and jobs through increased outdoor recreation",,"Bureau of Land Management,National Park Service,Fish & Wildlife Service,U.S. Forest Service,State and Local Assistance Program,Forest Legacy Program",,Development,Trails Development/Renovation ,,"$0 - $250,000",,"Backpacking/Hiking,Campground + Hospitality,Wildlife Watching,Rock Climbing",,"Tribal/Native American,Youth,Adults,Senior",,Application has been submitted,Yes,,Yes,High level,Fits within the County Open Space Plan,Support by the Tijeras Watershed Coalition. ,Support by the New Mexico Game and Fish,Protect intends to improve riparian area for recreation and wildlife.
36.66589355,-105.4693985,anonymous,EN,,New Mexico,Town of Red River,,,Russell Church,Repair and rebuild a dam. This project will improve Fawn Lakes. reconstruct the earth dam on the west side of the lake with an overflow weir and improve the water inlet feed with a gate valve to help maintain level of the pond and allow the water flow to be turned off during flood events. ,New Mexico,Taos County,Town of Red River,US Forest Service,"Developing recreational areas, trails, and waterways",,"U.S. Forest Service,State and Local Assistance Program",,Development,Fishing/Boardwalk,,Unknown,,"Campground + Hospitality,Fishing",,"Rural,Communities of color,LGBTQ,Immigrants,Youth,Adults,Senior,Disabled",,Unknown,Unknown,,No,,Fishing is very popular in our area. Those that can't fish in the river will use the lakes in the area. This particular lake was very busy with all age groups of fisherman. Lakes promote getting outdoors with your family and fishing together. ,The lake set on public lands and we know that the US Forest Service (USFS) is underfunded in the recreational area. So the USFS will partner up with a local government or county to get the project completed. The lake will continue to be managed by the USFS.,The project is supported by the Town of Red River. ,To bring a recreational need back to full use. After a heavy Spring run-off the dam was breached by high flows that the dam could no long withstand.
35.16799927,-103.7179031,anonymous,EN,,New Mexico,City of Tucumcari,,,Alex Villanueva,To develop a splash pad on one of our local parks by using an existing swimming pool site ,New Mexico,Quay County,Tucumcari,City of Tucumcari,"Developing recreational areas, trails, and waterways,Creating and improving state and local parks,Supporting local economies and jobs through increased outdoor recreation,Other (please describe):",Splash Pad,Unknown,,Development,Splash Pads,,Unknown,,Other (please describe):,,"Rural,Low-income,Youth,Adults,Senior,Disabled",,New concept,Unknown,,Unknown,,,,,
37.75100708,-97.8219986,anonymous,EN,,New Mexico,BLM- Rio Puerco Field Office,,,Bluewater Creek ACEC,"Acquire private lands in/adjacent to BLM managed public lands at Bluewater Creek ACEC. Develop and maintain visitor services such as vault toilets, picnic tables, refuse containers, interpretative panels, ADA compatible facilities, signs and educational programs on BLM lands at trailhead. Utilize highly degraded Chacoan Pueblo site for interpretation and cultural education while safeguarding from further looting.",New Mexico,Cibola County,Grants,BLM,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Preserving historic battlefields and cultural sites,Safeguarding rivers, watershed, water supplies, and clean water,Preserving natural areas and wildlife habitat",,Bureau of Land Management,,Combination (Acquisition and Development),Acquisition,,"$500,001 - $750,000",500000,"Backpacking/Hiking,Fishing,Hunting,Wildlife Watching,Rock Climbing,Other (please describe):","Primitive camping, photography","Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",,New concept,Unknown,,Yes,"$280,000 from the BLMs Deferred Maintenance Program.",Project is aligned with the BLMs Resource Management Plan and also the Bluewater Creek ACEC Protection Plan.,"bia- Baca Prewitt Chapter of the Navajo Nation has expressed a willingness to exchange BLM lands near Prewitt, NM  for BIA lands within the footprint of the Creek for inclusion to the ACEC. This will assist in providing public access from the mouth of the creek to the dam (Bluewater Reservoir).","Support from the following entities has been expressed: BLM Interdisciplinary team, Back Country Horsemen, Rocky Mountain Youth Corps, Cottonwood Gulch Expeditions, New Mexico Volunteers for the Outdoors.","Yes, local impoverished gateway communities will have increased access and developed facilities providing recreational and educational opportunities."
36.82049561,-108.0110016,anonymous,EN,,New Mexico,City of Aztec,,,Jeff Blackburn,"Phase 2 of our Animas River Enhancement Plan will include the repair and replacement of river bank gabions on the south side of Hartman Park. The gabions have colapsed and the banks is faulty. This will be directly across from Animas River restoration project which is now in process (DFA Project #D2428). The overall goal is to restore the portion of the river the City maintains, and create safe recreation in the Animas waterway by deapening the channel, removing debris, creating ingress and egress and repair an irrigation weir.",New Mexico,New Mexico,Aztec NM,NMED & San Juan Watershed Group,"Developing recreational areas, trails, and waterways,Safeguarding rivers, watershed, water supplies, and clean water,Increasing park access in urban settings",,State and Local Assistance Program,,Development,Beach/Harbor/Marina,,"$500,001 - $750,000",,"Fishing,Canoeing, Kayaking and Rafting,Wildlife Watching,Sailing/Motorboating",,"Rural,Urban,Low-income,Tribal/Native American,Youth,Adults",,New concept,No,We will begin the application for 319 funding in the summer of 2021.,No,,Improving river waterways for recreation purposes,Discussions with San Juan Watershed Group,,"The river corridor is used for fishing, and swimming mostly by youths. It is an inexpensive way to cool off in the summer. unfortunaltely in its current state the river under our control has multiple safety and access isssues."
32.78999329,-108.2749023,anonymous,EN,,New Mexico,Village of Santa Clara,,,Sheila Hudman,Fort Bayard Historic District Business Plan,New Mexico,Grant County,Santa Clara,Village of Santa Clara,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Preserving historic battlefields and cultural sites,Safeguarding rivers, watershed, water supplies, and clean water,Conserving working forests, farms, and ranches,Preserving natural areas and wildlife habitat,Creating and improving state and local parks,Supporting local economies and jobs through increased outdoor recreation,Increasing park access in urban settings",,Unknown,,Combination (Acquisition and Development),Other,"To restore and repurpose Fort Bayard National Historic Landmark for recreation, and economic.","$1,750,000+",23395481,"Backpacking/Hiking,Biking,Campground + Hospitality,Equestrian,Fishing,Motorized Use,Wildlife Watching,Other (please describe):","Golf, Archery","Rural,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",,New concept,No,"Need to find funding for design, to make shovel ready",No,,,"The Village of Santa Clara, has received support from the City of Bayard, Town of Hurley, Town of Silver City, and Grant County.  The Village also has support of numerus community organizations.  ",The Village has support from it's local and State Elected Officials,"The project will create economic development for the region, along with outdoor recreation opportunities. "
32.78999329,-108.2749023,anonymous,EN,,New Mexico,Silver City MainStreet,,,Big Ditch Park Lights and Signage,Replacing the 20 year old non working park lights in the Big Ditch Park so it can be used safely and used by more events in the evenings.,New Mexico,Grant County,Town of Silver City,Town of Silver City and Silver City MainStreet,Creating and improving state and local parks,,Other (please describe):,foundation grants,Combination (Acquisition and Development),Infrastructure,,"$0 - $250,000",35000,Other (please describe):,Urban park use,"Rural,Urban,Low-income,Communities of color,LGBTQ,Youth,Adults,Senior",,New concept,Yes,,No,,,The Town of Silver City has agreed to help install lights if funding can be found to purchase the lights.,,It is improving a trail and park in the middle of Silver City that brings shoppers to our downtown area
35.50650024,-108.7414017,anonymous,EN,,New Mexico,Northwest New Mexico Council of Govenrments,,,Evan Williams,"To provide funding to continue the build-out of the Zuni Mountains Trail Project, which includes 200+ miles of non-motorized, multi-use singletrack trails and several trailheads for this bi-county economic and outdoor recreation driver for New Mexico and the Four Corners region.",New Mexico,Cibola County,,US Forest Service and Cibola County,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Supporting local economies and jobs through increased outdoor recreation",,"U.S. Forest Service,State and Local Assistance Program",,Development,Trails Development/Renovation ,,"$750,0001 - $1,000,000",899200,"Backpacking/Hiking,Biking,Equestrian,Skiing/Snowboarding,Wildlife Watching",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",,Application has been submitted,Yes,,No,,"This project supports Goal #1 in NM's 2016-2020 Viva New Mexico SCORP - Goal: Address local needs, expand access to, and reduce barriers to outdoor recreation and trails.","Maintenance Agreements exist between the USFS and McKinley County and Cibola County.  Both entities provide youth conservation corps programs and members to provide management and maintenance, as well as several volunteer groups such as Gallup Trails, Adventure Gallup, and Cibola Trail Alliance.  McKinley County has an established trail maintenance line-item in its annual budget, and Cibola County is working on adopting something similar.  It is understood that as more of this system is built; maintenance and management costs will need to increase proportionately.","This project is managed by the Zuni Mountains Trail Partnership, which includes all local governments and non-profit advocacy groups.  It is supported by the regional Council of Governments and Regional Transportation Planning Organization.  This project has received over $3M to date from State and Federal sources including Recreational Trails Program.","Yes, it is solving access to safe places to play and exercise for free; creating youth and young adult jobs and workforce training opportunities; and building an economic driver for the region."
